Grain ID,Length mm,Width mm,Area mm2,Aspect Ratio
0.0,8.018100768562377,1.7652086573322927,14.153620892029018,4.542296308856707
1.0,8.579945601816252,1.6957143348033035,14.549136748832376,5.059782432523632
2.0,7.613205196350578,1.8660581393504707,14.206683523195295,4.079832796099563
3.0,8.689890583669108,1.5444982333446113,13.42152065443491,5.626351909028181
4.0,8.08241956815945,1.9065588102565976,15.409608235864724,4.239271049326647
5.0,8.34379962110144,1.570103863092858,13.100632017964095,5.314170493578344
6.0,7.733640295314038,1.7421367975670523,13.473059337613911,4.439169361507262
7.0,7.734325739342397,1.873987753560224,14.494031717573279,4.127201858522626
8.0,8.183683260219304,1.811177411417323,14.822102263103277,4.518432710473805
9.0,7.729883269062193,1.8401758689580001,14.224344661590427,4.2006220163289285
10.0,7.4441726564422375,1.6268839798574373,12.110805238058658,4.575724359332965
11.0,8.39810769388995,1.8101466922309457,15.201806863094147,4.6394624976717
12.0,8.559315598855807,1.718920159527636,14.712780134632608,4.979472462064749
13.0,8.118460347333293,1.700808006947435,13.807942362829719,4.77329617109699
14.0,7.626744668314776,1.6758974330631768,12.781641812257003,4.550842144542666
15.0,8.070866141732283,3.937007874015748,31.7750635501271,2.05
16.0,8.20478364238589,1.7430766548697405,14.301566825299961,4.707069892459222
17.0,7.696760883481484,1.8977482112373893,14.606514198948894,4.05573344129934
18.0,7.9531818299781625,1.729177039439284,13.752459410883946,4.599402865398399
19.0,8.703165730153483,1.7618267930398777,15.333470567650876,4.9398532049435655
20.0,7.9186507097379435,1.5811179754302258,12.520320978319978,5.008260504775591
21.0,7.897341270146408,1.737658733458031,13.722884029168444,4.544817183078457
22.0,7.648815845879983,1.4009327024925413,10.715476253836417,5.459802481783171
23.0,7.6280410646453625,1.9324087908887488,14.740493610581069,3.9474261867423466
24.0,8.413269763856423,1.7909291785533035,15.06757030713073,4.697712151103924
25.0,7.764323677603654,1.6242841285044753,12.611467718103114,4.780151170197352
26.0,8.283181978961615,1.7399798415777252,14.412569667513099,4.76050456507062
27.0,7.985264335091659,1.8131915415365867,14.478813749321972,4.403982785141694
28.0,8.723166758619895,1.6907810601662463,14.748965140146304,5.1592527052332775
29.0,7.26812407726378,1.704606784610298,12.3892936134933,4.2638127120474865
30.0,8.034066027543677,1.7812503604438361,14.310683007391752,4.510351944878663
31.0,7.462045264056349,1.9029659361351194,14.200017951397625,3.9212710655302603
32.0,8.394220907857099,1.944238857960138,16.320370471357197,4.3174843839219275
33.0,8.01116582915539,1.5904880133200818,12.741663223991083,5.036923109173513
34.0,8.248030294583538,1.7862740464097873,14.733242449216245,4.617449551574219
35.0,8.100721103938547,1.963395246370571,15.904917307646707,4.125873849859376
36.0,8.093715277243787,1.688531740443913,13.666495143741939,4.793345060316105
37.0,8.55448805441068,1.8016867750272978,15.41250799476072,4.748043984660468
38.0,7.422695009727178,1.8624546020988406,13.824432480842482,3.9854367464110974
39.0,7.9336385651836245,1.742087987464244,13.821096441289454,4.554097509581996
40.0,7.775124377153052,1.763333898829663,13.710140381850845,4.409331881110807
41.0,8.31014978604054,1.8043564623735084,14.994472469734077,4.605603138478027
42.0,8.150700846994956,1.8297088803268795,14.91340972063449,4.454643541730434
43.0,8.430241862619956,1.7254079983929012,14.545606738151141,4.885941105218097
44.0,7.852825855645608,1.8608399638979454,14.612852181716425,4.220043640505285
45.0,8.159110001691683,1.73148342943567,14.12736376687199,4.712207961673029
46.0,7.087995273860421,1.65099572008989,11.702249861160922,4.29316392987046
47.0,6.954678512933686,1.6505621361920215,11.479129022836576,4.213521175869625
48.0,3.937007874015748,0.9448818897637796,3.7200074400148804,4.166666666666666
48.0,8.30669673409049,1.7923511294868049,14.888517273651443,4.634525343518436
48.0,3.046483317698081,1.7907645758681412,5.455534406306971,1.7012193332120067
49.0,8.24628154123862,1.7068467928668647,14.075139201740365,4.83129568260075
50.0,8.409154696727363,2.071902808241957,17.422951231090465,4.058662724562194
51.0,6.9071660079355315,1.957193359615296,13.518659444491915,3.529117843161494
52.0,7.261029341089444,1.9114815719484346,13.879323778869358,3.7986394677548705
53.0,7.8402427613265875,1.8148712098129154,14.229030865475735,4.319999523346229
54.0,7.392196054533711,1.8613578015425074,13.759521796638065,3.9713998288817964
55.0,8.369902963713399,1.7980153541865311,15.049214041808042,4.655078692306363
56.0,7.996834582231177,1.5671157836914062,12.53196569338375,5.102899648802146
57.0,7.810143898791216,1.508921525609775,11.784894246995917,5.17597752184961
58.0,7.5803152970441685,2.001681440458523,15.173376442917148,3.786973862987786
59.0,7.852846881536049,1.8911315137007105,14.850766209939172,4.152459426879836
60.0,7.228018092358207,1.7861382792315146,12.910239797738942,4.0467292910087895
61.0,7.7952755905511815,4.015748031496063,31.30386260772522,1.9411764705882355
62.0,7.828427412378507,1.8485260009765625,14.47105161853934,4.2349566131300325
63.0,8.48040302907388,3.4839870422843875,29.54561426664267,2.4341086594608665
64.0,8.103880994901882,1.8486007930725579,14.98084083414125,4.38379179824565
65.0,6.377952755905512,4.212598425196851,26.867753735507474,1.514018691588785
66.0,8.567150446373647,1.6276171826940822,13.944041273243025,5.2636151408730125
67.0,6.002162422720842,4.404680447315607,26.437607464970963,1.3626782906303239
68.0,7.947980024683194,1.6535056106687531,13.142029564296838,4.806745119823735
69.0,7.7952755905511815,4.645669291338583,36.21427242854487,1.677966101694915
70.0,8.07050629863589,1.8376837002010797,14.831037877373321,4.39167322306489
71.0,8.317470400352178,1.5450785479207678,12.85114508855011,5.383202304856996
